Time (ps),ETOT
20.2,-794249.5477
20.4,-794203.9782
20.6,-794897.9156
20.8,-794692.8184
21.0,-795083.8355
21.2,-795406.1632
21.4,-795742.1604
21.6,-795772.3524
21.8,-796046.2229
22.0,-796265.308
22.2,-796574.2195
22.4,-797405.747
22.6,-797748.5649
22.8,-797449.7974
23.0,-797806.5248
23.2,-797910.7926
23.4,-798124.1436
23.6,-797986.5263
23.8,-798105.695
24.0,-798023.4158
24.2,-798285.2142
24.4,-798610.0255
24.6,-798850.7498
24.8,-799101.5315
25.0,-799240.1197
25.2,-799284.0564
25.4,-799095.2782
25.6,-799305.2631
25.8,-799494.8376
26.0,-799626.4309
26.2,-800209.5188
26.4,-800239.9475
26.6,-800643.9633
26.8,-800827.2796
27.0,-800742.021
27.2,-800342.2928
27.4,-800502.1563
27.6,-800690.0775
27.8,-800758.0798
28.0,-800734.5422
28.2,-800819.6442
28.4,-801232.0087
28.6,-801400.1723
28.8,-801568.1195
29.0,-801561.2824
29.2,-801938.8794
29.4,-801768.3797
29.6,-802367.8447
29.8,-802165.2887
30.0,-802213.6418
30.2,-802039.5832
30.4,-802255.8906
30.6,-801998.7577
30.8,-802348.8742
31.0,-802608.6179
31.2,-802792.3879
31.4,-802937.9468
31.6,-803117.5083
31.8,-803176.4013
32.0,-803272.1419
32.2,-803455.3178
32.4,-803439.1905
32.6,-803129.2211
32.8,-803656.8044
33.0,-803789.9282
33.2,-803764.0146
33.4,-804190.329
33.6,-804209.9911
33.8,-804271.4592
34.0,-804703.2203
34.2,-804626.1668
34.4,-804320.9945
34.6,-804286.5781
34.8,-804089.5918
35.0,-804230.8157
35.2,-804492.6347
35.4,-804125.4434
35.6,-803971.8183
35.8,-804353.3463
36.0,-804389.6029
36.2,-804554.1243
36.4,-804449.8386
36.6,-804822.9719
36.8,-804919.7864
37.0,-804738.4545
37.2,-804897.8884
37.4,-805094.3729
37.6,-805390.7658
37.8,-805238.2667
38.0,-805699.5247
38.2,-805604.4034
38.4,-805512.6636
38.6,-805163.9113
38.8,-805635.2978
39.0,-806095.9949
39.2,-806168.5407
39.4,-806233.9977
39.6,-805977.4346
39.8,-806242.5874
40.0,-806201.7139
40.2,-806430.1686
40.4,-806201.4882
40.6,-806307.4031
40.8,-806149.0718
41.0,-806266.3937
41.2,-805911.5897
41.4,-806405.1825
41.6,-806422.9699
41.8,-806951.7003
42.0,-806898.4738
42.2,-807124.616
42.4,-807096.5358
42.6,-807047.6953
42.8,-807110.1183
43.0,-806860.0508
43.2,-807119.5556
43.4,-807106.1507
43.6,-807499.2096
43.8,-806945.6694
44.0,-807297.4289
44.2,-807510.0513
44.4,-807619.3628
44.6,-807731.7273
44.8,-807732.8557
45.0,-808319.1598
45.2,-808190.7091
45.4,-808520.279
45.6,-808220.5787
45.8,-808845.5888
46.0,-809050.7316
46.2,-808934.5317
46.4,-808531.6313
46.6,-808841.8246
46.8,-808980.1626
47.0,-809220.4385
47.2,-809245.0744
47.4,-809507.6588
47.6,-809755.3589
47.8,-809730.2981
48.0,-810003.7129
48.2,-809725.6994
48.4,-809522.4543
48.6,-809629.0
48.8,-810393.7896
49.0,-810499.8944
49.2,-810464.7633
49.4,-810948.5258
49.6,-811462.0143
49.8,-811396.3312
50.0,-811330.292
50.2,-811738.6723
50.4,-812337.14
50.6,-812531.436
50.8,-813368.2652
51.0,-813741.8935
51.2,-813718.2051
51.4,-814127.2822
51.6,-814592.4157
51.8,-814673.9742
52.0,-814996.4674
52.2,-815467.4213
52.4,-815626.0979
52.6,-815649.4562
52.8,-815695.6542
53.0,-815710.4584
53.2,-816846.2709
53.4,-816746.4626
53.6,-817131.224
53.8,-817022.413
54.0,-817280.0323
54.2,-817750.1119
54.4,-817555.774
