Time (ps),TEMP
20.2,301.68
20.4,302.42
20.6,301.02
20.8,302.1
21.0,301.0
21.2,301.68
21.4,301.04
21.6,301.04
21.8,301.51
22.0,301.0
22.2,300.21
22.4,298.64
22.6,300.56
22.8,300.12
23.0,299.78
23.2,299.24
23.4,299.31
23.6,300.42
23.8,298.83
24.0,300.7
24.2,299.63
24.4,299.78
24.6,300.7
24.8,300.46
25.0,301.04
25.2,300.5
25.4,300.38
25.6,301.05
25.8,299.8
26.0,301.03
26.2,300.3
26.4,299.87
26.6,298.95
26.8,300.44
27.0,299.0
27.2,301.37
27.4,300.56
27.6,300.8
27.8,300.35
28.0,301.1
28.2,301.19
28.4,300.12
28.6,300.14
28.8,300.17
29.0,300.6
29.2,301.02
29.4,300.14
29.6,300.39
29.8,300.69
30.0,300.3
30.2,300.88
30.4,300.27
30.6,301.19
30.8,300.34
31.0,300.65
31.2,299.81
31.4,299.53
31.6,299.65
31.8,300.11
32.0,299.73
32.2,299.58
32.4,298.99
32.6,301.16
32.8,300.21
33.0,299.37
33.2,299.37
33.4,298.73
33.6,300.38
33.8,299.17
34.0,298.72
34.2,299.57
34.4,299.19
34.6,298.92
34.8,300.58
35.0,301.9
35.2,301.05
35.4,300.85
35.6,301.78
35.8,300.74
36.0,300.98
36.2,300.41
36.4,301.6
36.6,299.42
36.8,300.78
37.0,301.51
37.2,299.97
37.4,300.57
37.6,299.52
37.8,300.31
38.0,299.45
38.2,300.49
38.4,300.68
38.6,301.98
38.8,299.17
39.0,300.19
39.2,299.54
39.4,298.93
39.6,299.65
39.8,299.62
40.0,299.41
40.2,299.36
40.4,300.65
40.6,300.09
40.8,301.19
41.0,300.36
41.2,300.31
41.4,300.2
41.6,301.36
41.8,298.81
42.0,299.8
42.2,299.98
42.4,300.81
42.6,299.87
42.8,300.57
43.0,299.99
43.2,300.56
43.4,301.19
43.6,299.98
43.8,300.39
44.0,301.32
44.2,300.13
44.4,299.86
44.6,299.44
44.8,301.34
45.0,298.9
45.2,298.97
45.4,298.23
45.6,300.76
45.8,299.11
46.0,298.98
46.2,298.26
46.4,300.75
46.6,299.03
46.8,300.32
47.0,300.32
47.2,300.71
47.4,300.55
47.6,300.36
47.8,299.36
48.0,298.74
48.2,301.01
48.4,302.05
48.6,302.36
48.8,300.56
49.0,300.89
49.2,301.62
49.4,301.39
49.6,299.83
49.8,301.23
50.0,302.4
50.2,301.75
50.4,300.68
50.6,300.42
50.8,300.75
51.0,300.85
51.2,300.84
51.4,300.34
51.6,299.81
51.8,299.8
52.0,301.27
52.2,299.94
52.4,299.66
52.6,300.43
52.8,300.33
53.0,301.29
53.2,299.89
53.4,300.27
53.6,300.68
53.8,300.77
54.0,300.01
54.2,300.84
54.4,301.12
54.6,301.77
54.8,301.35
55.0,301.21
55.2,300.16
55.4,301.0
55.6,299.25
55.8,300.91
56.0,300.61
56.2,299.31
56.4,299.56
56.6,300.95
56.8,301.63
57.0,300.32
57.2,300.08
57.4,300.96
57.6,301.62
57.8,300.03
58.0,300.48
58.2,300.95
58.4,299.3
