Time (ps),Radius of gyration (A)
0.0,31.79679138453074
2.0,31.74439772715166
4.0,31.71160542514637
6.0,31.62710057996138
8.0,31.64366377475408
10.0,31.591404651796445
12.0,31.65482076342792
14.0,31.549338490878206
16.0,31.52631711009171
18.0,31.521755677973616
20.0,31.494663211827817
22.0,31.487897060907567
24.0,31.465742346923435
26.0,31.489157366495483
28.0,31.493046898475043
30.0,31.447835505054012
32.0,31.476206778540327
34.0,31.446676603962263
36.0,31.40952946955966
38.0,31.39381775480461
40.0,31.395577477196053
42.0,31.35486694036709
44.0,31.399395907395967
46.0,31.376718259989506
48.0,31.358273575794403
50.0,31.343841955958638
52.0,31.3409264853579
54.0,31.329436207310675
56.0,31.342965826851305
58.0,31.333565646812414
60.0,31.327705156657974
62.0,31.330211880126082
64.0,31.27575593731028
66.0,31.289576010598893
68.0,31.27518253943497
70.0,31.28784454018405
72.0,31.291538532049778
74.0,31.268449054504252
76.0,31.296964568608697
78.0,31.262269665401714
80.0,31.281984012960937
82.0,31.27996207051853
84.0,31.266980816702873
86.0,31.317464801753726
88.0,31.285953603340115
90.0,31.294131890322774
92.0,31.27994112251851
94.0,31.294531763946882
96.0,31.261632921603976
98.0,31.26807012917823
100.0,31.26645257681862
102.0,31.288300466427017
104.0,31.257296881726464
106.0,31.265118991071922
108.0,31.26774990181636
110.0,31.255175115853906
112.0,31.243793901652328
114.0,31.27376291370882
116.0,31.268698494534913
118.0,31.27775341262681
120.0,31.240823116618678
122.0,31.283949792838598
124.0,31.251375148629045
126.0,31.282128555788997
128.0,31.262792216665716
130.0,31.29020621915219
132.0,31.28151746521691
134.0,31.298939660973737
136.0,31.24828166611812
138.0,31.239863644803908
140.0,31.240144603884072
142.0,31.27143720297791
144.0,31.24825244255249
146.0,31.270898414659843
148.0,31.242468369684925
150.0,31.22267804768441
152.0,31.2704149281769
154.0,31.24448412317499
156.0,31.24590676146584
158.0,31.267723855106247
160.0,31.26020324720905
162.0,31.22805614725343
164.0,31.270908648136093
166.0,31.262052446310886
168.0,31.277030439715784
170.0,31.25189118434813
172.0,31.242328521805703
174.0,31.254486344689393
176.0,31.262627242594952
178.0,31.238103168243534
180.0,31.25783785644152
182.0,31.24772408323954
184.0,31.25519662995594
186.0,31.250848981055196
188.0,31.243748874048052
190.0,31.237307026822062
192.0,31.260431602173515
194.0,31.23680871907317
196.0,31.268409753278885
198.0,31.289731998403028
200.0,31.275878438191995
202.0,31.26258251063269
204.0,31.257140988076756
206.0,31.240863166923237
208.0,31.247821112198782
210.0,31.24333977381647
212.0,31.261102475821477
214.0,31.250869839554362
216.0,31.270017103174613
218.0,31.250835331515468
220.0,31.260875867145703
222.0,31.270811078709954
224.0,31.257527665672008
226.0,31.25892759035326
228.0,31.267630030524586
230.0,31.268113503150627
232.0,31.274523025941054
234.0,31.268963047215408
236.0,31.263122320732723
238.0,31.246335501545158
240.0,31.26160971305774
242.0,31.24639507640917
244.0,31.238590960435154
246.0,31.27675038014918
248.0,31.26314042193613
250.0,31.241366844137502
252.0,31.264755844176484
254.0,31.263996877630262
256.0,31.28581440468177
258.0,31.27435254796112
260.0,31.229133245351093
262.0,31.272083332580824
264.0,31.25015647396711
266.0,31.241790266803804
268.0,31.27118723837502
270.0,31.27071422197311
272.0,31.280578588112082
274.0,31.26751729780379
276.0,31.266020383026763
278.0,31.258414089794016
280.0,31.259176550336502
282.0,31.269948929999423
284.0,31.284461062405487
286.0,31.271584214073872
288.0,31.28360135332049
290.0,31.26778504673947
292.0,31.28841438436703
294.0,31.27491139558602
296.0,31.30201202695816
298.0,31.28223726937027
300.0,31.269256934265705
302.0,31.290516403065556
304.0,31.256148397258624
306.0,31.260774185289975
308.0,31.303589570824535
310.0,31.28928017007174
312.0,31.291206727631728
314.0,31.272058340702863
316.0,31.289607500894935
318.0,31.281606566740958
320.0,31.261874336025926
322.0,31.2548313743205
324.0,31.275889090160813
326.0,31.250898760498195
328.0,31.28548445661125
330.0,31.298835360439668
332.0,31.30706914010512
334.0,31.30735035960137
336.0,31.285536298850452
338.0,31.276156159916116
340.0,31.275082709259102
342.0,31.276787960447344
344.0,31.228126934790403
346.0,31.25376839421452
348.0,31.26793972470464
350.0,31.272427967922333
352.0,31.27813264309917
354.0,31.25630858415962
356.0,31.268049745889787
358.0,31.25317021697234
360.0,31.24712787873561
362.0,31.272428420469378
364.0,31.243366807584746
366.0,31.244276087187494
368.0,31.23833375453048
370.0,31.250665805228724
372.0,31.261040242317538
374.0,31.245180987455615
376.0,31.235003985048994
378.0,31.250075593190285
380.0,31.278365255522314
382.0,31.262492708596923
384.0,31.269210583975354
386.0,31.287415084185994
388.0,31.231834538251462
390.0,31.222222981413122
392.0,31.243160056366417
394.0,31.247982694776766
396.0,31.244505568600836
398.0,31.214716520956124
400.0,31.20207468293464
402.0,31.24946950271566
404.0,31.23610789354747
406.0,31.22314273654756
408.0,31.21208284372782
410.0,31.200691121041718
412.0,31.204171683173705
414.0,31.216911197327292
416.0,31.197071769008225
418.0,31.203098923142093
420.0,31.237524541829224
422.0,31.212889527655683
424.0,31.235931928609673
426.0,31.238737888311867
428.0,31.24462409446216
430.0,31.22281736078825
432.0,31.227600144731227
434.0,31.206965744505577
436.0,31.204918105356455
438.0,31.225405979165377
440.0,31.236522699340078
442.0,31.22375525858897
444.0,31.200866072837314
446.0,31.194339633844546
448.0,31.22683679015476
450.0,31.204715296397854
452.0,31.233554362272326
454.0,31.24278329702971
456.0,31.22325629281945
458.0,31.20204835858757
460.0,31.20319316691157
462.0,31.1970002949372
464.0,31.215542959415153
466.0,31.213711148114193
468.0,31.231742213124978
470.0,31.21062415047154
472.0,31.213109632404784
474.0,31.228382242310335
476.0,31.23060887236363
478.0,31.207392219021152
480.0,31.204760096523387
482.0,31.196155292641468
484.0,31.242089092876377
486.0,31.211540573649383
488.0,31.239249127366715
490.0,31.23000609897303
492.0,31.211987649256425
494.0,31.24336150107299
496.0,31.22448569917032
498.0,31.268204218476246
500.0,31.249437452136196
502.0,31.243764551085125
504.0,31.233043681706278
506.0,31.244519543665096
508.0,31.215719333695944
510.0,31.219986653885297
512.0,31.232898481905337
514.0,31.227970067091494
516.0,31.23247087205048
518.0,31.21034404098665
520.0,31.210485488695102
522.0,31.199850078102962
524.0,31.239780221362437
526.0,31.18766234122156
528.0,31.219478893406254
530.0,31.210612617793686
532.0,31.21293530650044
534.0,31.196990314667055
536.0,31.220791666665722
538.0,31.22933628675307
540.0,31.25528455138901
542.0,31.189092237559336
544.0,31.233136054219926
546.0,31.220747043249876
548.0,31.183051314091166
550.0,31.21629996964721
552.0,31.226412676377908
554.0,31.219012021254063
556.0,31.217400351693936
558.0,31.210779384296938
560.0,31.221044870601915
562.0,31.22163438956789
564.0,31.24272942542945
566.0,31.216101879816634
568.0,31.210236603978203
570.0,31.230810333937875
572.0,31.196605289145726
574.0,31.177583590735363
576.0,31.20744956327138
578.0,31.197953947073024
580.0,31.23554365778628
582.0,31.248774997524553
584.0,31.24704458865184
586.0,31.21888581883465
588.0,31.22070072495785
590.0,31.22983038969954
592.0,31.223133309326347
594.0,31.20659399040716
596.0,31.205182617570742
598.0,31.225322181842596
600.0,31.24743954659591
602.0,31.24474241894956
604.0,31.21800399806935
606.0,31.288919637832226
608.0,31.198326997819446
610.0,31.25378405876396
612.0,31.22922011410572
614.0,31.210934128289388
616.0,31.234543509692383
618.0,31.237045729435795
620.0,31.2502386392957
622.0,31.22001005308421
624.0,31.23692319370691
626.0,31.229547666808028
628.0,31.256179070865663
630.0,31.225813090762447
632.0,31.220568942763776
634.0,31.237623672351017
636.0,31.227216007231263
