Time (ps),ETOT
22.0,-585644.1879
24.0,-588106.4883
26.0,-589491.6579
28.0,-591058.5323
30.0,-592398.6412
32.0,-593579.1983
34.0,-595339.1894
36.0,-596622.4927
38.0,-596825.8015
40.0,-598230.5935
42.0,-598799.5388
44.0,-599232.365
46.0,-600198.5358
48.0,-600882.3477
50.0,-601160.1546
52.0,-601285.0611
54.0,-601765.4932
56.0,-601824.3961
58.0,-602017.7241
60.0,-602497.1627
62.0,-603587.4922
64.0,-603178.9369
66.0,-604705.8986
68.0,-604020.7092
70.0,-604392.054
72.0,-605180.6737
74.0,-605152.1994
76.0,-605506.9173
78.0,-605977.8795
80.0,-605580.7482
82.0,-605942.8034
84.0,-606371.9719
86.0,-606000.1483
88.0,-606561.323
90.0,-606778.2914
92.0,-606738.3634
94.0,-607723.081
96.0,-607254.6759
98.0,-608335.8931
100.0,-607760.3629
102.0,-608214.9675
104.0,-608191.8741
106.0,-608318.3316
108.0,-608146.8516
110.0,-608726.1313
112.0,-609200.4967
114.0,-609057.769
116.0,-609067.018
118.0,-609723.9928
120.0,-609663.473
122.0,-609329.254
124.0,-609483.7392
126.0,-609393.4882
128.0,-609468.2494
130.0,-609813.2676
132.0,-609650.3821
134.0,-610449.4109
136.0,-610378.4936
138.0,-610331.1666
140.0,-610431.9522
142.0,-610665.1742
144.0,-610632.2841
146.0,-611308.1514
148.0,-610719.1306
150.0,-611726.4544
152.0,-610577.3519
154.0,-611458.3948
156.0,-611678.4501
158.0,-612226.6261
160.0,-611527.2734
162.0,-611458.5824
164.0,-611144.1601
166.0,-611308.3404
168.0,-611293.5585
170.0,-612427.388
172.0,-612553.5324
174.0,-612471.7464
176.0,-612229.6209
178.0,-612500.8697
180.0,-612010.4007
182.0,-611999.9153
184.0,-611901.5976
186.0,-612479.5216
188.0,-613008.8481
190.0,-612594.6377
192.0,-612729.0132
194.0,-612904.0251
196.0,-612993.0805
198.0,-613176.0471
200.0,-613669.3403
202.0,-612721.4787
204.0,-613099.3532
206.0,-612815.0085
208.0,-612991.1088
210.0,-613386.711
212.0,-613388.8398
214.0,-613129.8456
216.0,-613419.6999
218.0,-613618.0572
220.0,-613746.1113
222.0,-614328.0563
224.0,-613640.5244
226.0,-614087.3256
228.0,-613645.5182
230.0,-614232.0133
232.0,-614169.4066
234.0,-613675.605
236.0,-614825.1327
238.0,-613916.6007
240.0,-613943.2302
242.0,-614542.026
244.0,-614581.785
246.0,-614036.9225
248.0,-613849.3039
250.0,-614690.7297
252.0,-614930.5128
254.0,-614530.9879
256.0,-615060.7862
258.0,-614461.7523
260.0,-614676.8176
262.0,-615365.939
264.0,-614743.34
266.0,-615017.0955
268.0,-615492.1994
270.0,-614568.6744
272.0,-614809.553
274.0,-615120.8755
276.0,-615748.6463
278.0,-615488.1726
280.0,-615055.5025
282.0,-615594.9864
284.0,-615537.8852
286.0,-615480.0905
288.0,-615757.0631
290.0,-615481.5848
292.0,-615572.0196
294.0,-615949.8992
296.0,-615443.4419
298.0,-615627.2825
300.0,-616436.4989
302.0,-615597.985
304.0,-616022.0847
306.0,-615759.9308
308.0,-615755.6377
310.0,-614854.054
312.0,-615618.0511
314.0,-615562.8605
316.0,-615638.2762
318.0,-616561.3346
320.0,-615857.8256
322.0,-615749.9618
324.0,-615858.5437
326.0,-615479.8119
328.0,-615856.3246
330.0,-616119.4521
332.0,-615833.8114
334.0,-615812.6656
336.0,-616111.1219
338.0,-615622.3091
340.0,-615805.6098
342.0,-616255.6672
344.0,-616187.0814
346.0,-616483.2357
348.0,-616270.3742
350.0,-616140.3977
352.0,-616604.6384
354.0,-615995.311
356.0,-616693.0887
358.0,-616365.6661
360.0,-616381.1444
362.0,-616308.8515
364.0,-616672.5156
366.0,-615771.3796
368.0,-617145.5332
370.0,-617073.2764
372.0,-616766.4655
374.0,-617009.141
376.0,-617020.0283
378.0,-616564.8789
380.0,-617222.9842
382.0,-616791.475
384.0,-617223.8465
386.0,-616649.1893
388.0,-616802.9503
390.0,-617297.4764
392.0,-617364.528
394.0,-617139.4981
396.0,-617398.8351
398.0,-616507.5683
400.0,-616997.53
402.0,-616887.9503
404.0,-617361.7363
406.0,-617878.322
408.0,-617404.3662
410.0,-617358.3229
412.0,-617591.5728
414.0,-617309.7415
416.0,-617449.4845
418.0,-617722.2136
420.0,-617561.3001
422.0,-617656.1121
424.0,-617899.0489
426.0,-617703.0967
428.0,-617386.122
430.0,-617172.4969
432.0,-616983.0344
434.0,-617553.0463
436.0,-617837.5615
438.0,-618009.455
440.0,-617915.327
442.0,-617908.884
444.0,-618099.7541
446.0,-617848.4662
448.0,-617781.5028
450.0,-618179.9855
452.0,-617983.324
454.0,-618614.9883
456.0,-618218.473
458.0,-618495.082
460.0,-617972.8939
462.0,-617922.2341
464.0,-618410.3333
466.0,-617914.0109
468.0,-617597.1065
470.0,-618633.1223
472.0,-618195.5668
474.0,-618656.065
476.0,-618752.0454
478.0,-618081.2611
480.0,-618140.8962
482.0,-618586.4018
484.0,-618674.0328
486.0,-618450.8866
488.0,-618243.9222
490.0,-618767.6409
492.0,-618244.9755
494.0,-618179.8835
496.0,-618734.3708
498.0,-618228.6969
500.0,-619416.0265
502.0,-618729.9518
504.0,-618720.3971
506.0,-617850.9369
508.0,-617795.2997
510.0,-618016.2193
512.0,-618657.956
514.0,-618633.7154
516.0,-618544.9183
518.0,-619344.644
520.0,-618704.1202
522.0,-618990.9289
524.0,-618592.6351
526.0,-619162.2017
528.0,-619157.7932
530.0,-618676.44
532.0,-618588.3804
534.0,-618611.6095
536.0,-619481.0188
538.0,-618591.076
540.0,-618841.0855
542.0,-618788.0461
544.0,-618437.6584
546.0,-618417.8455
548.0,-618420.9426
550.0,-618760.3202
552.0,-618665.9674
554.0,-618746.0031
556.0,-619401.454
558.0,-619595.225
560.0,-618991.5866
562.0,-618644.0052
564.0,-619189.4174
566.0,-619517.0937
568.0,-618844.9789
570.0,-619007.8475
572.0,-619614.1358
574.0,-619130.5934
576.0,-619221.8382
578.0,-619393.86
580.0,-618968.3179
582.0,-618823.8766
584.0,-619852.9996
586.0,-619461.9445
588.0,-619495.449
590.0,-618897.7148
592.0,-619409.2141
594.0,-619170.8603
596.0,-618987.2014
598.0,-619990.0196
600.0,-618770.2207
602.0,-619895.494
604.0,-619355.5606
606.0,-619223.1175
608.0,-620042.8686
610.0,-619493.1117
612.0,-619719.9387
614.0,-619423.7574
616.0,-619517.9469
618.0,-619762.4013
620.0,-620306.1565
622.0,-619201.7119
624.0,-620307.3726
626.0,-619760.6724
628.0,-619734.4566
630.0,-620149.5429
632.0,-620357.5883
634.0,-619542.5256
636.0,-619543.2319
638.0,-620413.5125
640.0,-619763.1031
642.0,-620296.4352
644.0,-620094.9124
646.0,-619219.3236
648.0,-619307.6231
650.0,-619999.0091
652.0,-620110.0373
654.0,-619634.8034
656.0,-619758.5022
658.0,-619566.108
660.0,-619532.7406
662.0,-619971.0672
664.0,-619993.1344
666.0,-620087.4652
668.0,-619945.0205
670.0,-620285.1753
672.0,-619983.4485
674.0,-620038.6077
676.0,-620130.0851
678.0,-619903.0955
680.0,-619833.0565
682.0,-620440.3663
684.0,-620406.5591
686.0,-620068.0782
688.0,-620283.1919
690.0,-620210.2478
692.0,-620651.4583
694.0,-620073.4823
696.0,-620719.9928
698.0,-620652.206
700.0,-620822.5405
702.0,-620768.0687
704.0,-620506.6432
706.0,-620742.7336
708.0,-619966.3195
710.0,-620439.3372
712.0,-620290.8031
714.0,-621130.0658
716.0,-620374.2504
718.0,-620423.9112
720.0,-620608.3027
722.0,-620963.5251
724.0,-620929.0463
726.0,-620396.5806
728.0,-620574.1506
730.0,-620219.5696
732.0,-620406.7725
734.0,-619954.757
736.0,-620480.5913
738.0,-620346.9216
740.0,-620344.2897
742.0,-620419.1299
744.0,-620806.5535
746.0,-619505.6041
748.0,-620609.8102
750.0,-620478.0808
752.0,-620739.5005
754.0,-620163.4343
756.0,-620142.1226
758.0,-620460.8955
760.0,-620492.0317
762.0,-621132.1677
764.0,-620428.8518
766.0,-620731.952
768.0,-620326.6549
770.0,-620229.8989
772.0,-621293.2996
774.0,-620851.3251
776.0,-620814.266
778.0,-621174.4622
780.0,-621314.6411
782.0,-620501.757
784.0,-620677.7834
786.0,-620972.8987
788.0,-621132.6753
790.0,-620892.0558
792.0,-620678.49
794.0,-620210.6651
796.0,-621033.313
798.0,-620647.549
800.0,-621160.2135
802.0,-621291.9988
804.0,-620798.6616
806.0,-621012.399
808.0,-620748.2672
810.0,-620891.9954
812.0,-620966.7342
814.0,-620814.6663
816.0,-621173.4125
818.0,-620812.5796
820.0,-621712.1401
822.0,-620842.8974
824.0,-621193.0024
826.0,-621111.862
828.0,-620927.522
830.0,-621829.6848
832.0,-620874.7236
834.0,-620798.3438
836.0,-621123.578
838.0,-621478.9342
840.0,-620771.8131
842.0,-621301.8136
844.0,-621162.5341
846.0,-621489.8172
848.0,-622178.148
850.0,-621825.7423
852.0,-621963.6144
854.0,-620817.537
856.0,-621605.3971
858.0,-621032.0378
860.0,-621503.9449
862.0,-621099.8376
864.0,-621702.4364
866.0,-621631.8782
868.0,-621768.8469
870.0,-622059.7491
872.0,-621900.6991
874.0,-621379.1805
876.0,-621518.9506
878.0,-621236.9264
880.0,-621698.644
882.0,-621397.7083
884.0,-621422.2392
886.0,-621835.2001
888.0,-621577.2545
890.0,-621544.6464
892.0,-621279.2953
894.0,-621372.629
896.0,-621640.3847
898.0,-621216.6873
900.0,-621290.2073
902.0,-621585.4459
904.0,-621266.7994
906.0,-621472.9718
908.0,-621541.2433
910.0,-621644.2423
912.0,-621800.6567
914.0,-621814.4998
916.0,-621074.0674
918.0,-621364.5654
920.0,-621697.2632
922.0,-621352.1142
924.0,-621043.615
926.0,-621155.2457
928.0,-621315.0367
930.0,-621368.4952
932.0,-621821.8706
934.0,-621598.1442
936.0,-622108.2457
938.0,-621678.2366
940.0,-622117.643
942.0,-621415.3007
944.0,-621959.7507
946.0,-621586.2444
948.0,-621804.9321
950.0,-621243.2302
952.0,-621534.7682
954.0,-621813.7816
956.0,-621792.0889
958.0,-622073.835
960.0,-622678.4138
962.0,-621649.4879
964.0,-622330.2652
966.0,-621632.4705
968.0,-621974.1565
970.0,-621957.4963
972.0,-621846.86
974.0,-622494.4574
976.0,-621986.6807
978.0,-621485.7447
980.0,-622017.6072
982.0,-622037.5753
984.0,-621560.822
986.0,-621630.911
988.0,-622842.3283
990.0,-621945.0554
992.0,-621538.0438
994.0,-622273.7804
996.0,-622114.5551
998.0,-621824.5703
1000.0,-621943.1702
1002.0,-622370.0629
1004.0,-621486.2073
1006.0,-621502.7335
1008.0,-621583.3793
1010.0,-621594.0521
1012.0,-621734.0921
1014.0,-621867.9164
1016.0,-622155.3684
1018.0,-621916.2771
1020.0,-621384.0141
1022.0,-622206.5922
1024.0,-621979.9908
1026.0,-621703.3007
1028.0,-622293.4914
1030.0,-622090.5972
1032.0,-622466.0593
1034.0,-622372.9476
1036.0,-622222.7458
1038.0,-621801.1614
1040.0,-621650.8946
1042.0,-621939.4047
1044.0,-622060.5421
1046.0,-622277.0925
1048.0,-621814.2559
1050.0,-621936.0468
1052.0,-622143.6185
1054.0,-622166.3696
1056.0,-622735.9215
1058.0,-621889.5121
1060.0,-621496.868
1062.0,-622304.4141
1064.0,-622627.5937
1066.0,-622209.3018
1068.0,-621987.22
1070.0,-622607.8231
1072.0,-622401.2679
1074.0,-622188.4984
1076.0,-623145.2603
1078.0,-622504.8921
1080.0,-621960.768
1082.0,-622032.4887
1084.0,-621827.2808
1086.0,-622814.4118
1088.0,-622413.5448
1090.0,-621716.2542
1092.0,-622596.4569
1094.0,-621933.2297
1096.0,-622421.409
1098.0,-621203.0906
1100.0,-622689.666
1102.0,-622371.4207
1104.0,-622098.9387
1106.0,-622100.8107
1108.0,-621881.795
1110.0,-622080.4713
1112.0,-621884.6741
1114.0,-623205.7898
1116.0,-622510.5057
1118.0,-622566.3834
1120.0,-622336.8118
1122.0,-622352.4306
1124.0,-621526.6912
1126.0,-622271.0014
1128.0,-622694.7022
1130.0,-622224.1061
1132.0,-622240.8803
1134.0,-622148.8621
1136.0,-622609.989
1138.0,-621669.3029
1140.0,-622910.3361
1142.0,-622851.5628
1144.0,-622923.1441
1146.0,-623080.7312
1148.0,-621947.6777
1150.0,-622496.1537
1152.0,-623311.4239
1154.0,-623143.2376
1156.0,-623113.0912
1158.0,-622067.5489
1160.0,-622534.9237
1162.0,-622219.341
1164.0,-622871.7359
1166.0,-622419.651
1168.0,-622269.3879
1170.0,-622708.712
1172.0,-622394.038
1174.0,-622333.2036
1176.0,-622686.6374
1178.0,-622340.8127
1180.0,-621963.1353
1182.0,-623170.171
1184.0,-622427.2115
1186.0,-623331.9999
1188.0,-623293.5245
1190.0,-622777.0294
1192.0,-622463.563
1194.0,-622711.3966
1196.0,-622531.5696
1198.0,-622300.3411
1200.0,-622645.79
1202.0,-622179.8081
1204.0,-622677.0654
1206.0,-622444.4397
1208.0,-622868.3379
1210.0,-622445.1851
1212.0,-622722.5674
1214.0,-622242.4048
1216.0,-622695.7982
1218.0,-623195.374
1220.0,-622178.6032
1222.0,-622527.8188
1224.0,-622731.4765
1226.0,-622434.4655
1228.0,-622818.6637
1230.0,-622810.4626
1232.0,-622593.3691
1234.0,-622673.3417
1236.0,-622942.301
1238.0,-622061.8339
1240.0,-622889.5392
1242.0,-623158.0236
1244.0,-623077.2432
1246.0,-622872.4644
1248.0,-622928.5369
1250.0,-622253.9592
1252.0,-623194.8426
1254.0,-622859.5983
1256.0,-622938.2396
1258.0,-622950.3703
1260.0,-622364.9258
1262.0,-623131.206
1264.0,-623316.1394
1266.0,-622664.9931
1268.0,-622711.8486
1270.0,-623082.4224
1272.0,-622551.0812
1274.0,-623273.0152
1276.0,-622348.3922
1278.0,-623087.4292
1280.0,-623186.9582
1282.0,-623220.7329
1284.0,-622742.8215
1286.0,-623557.9642
1288.0,-623346.0565
1290.0,-623040.4851
1292.0,-623206.0627
1294.0,-622354.7376
1296.0,-622737.4196
1298.0,-623392.7229
1300.0,-623265.1718
1302.0,-622946.6734
1304.0,-622717.2826
1306.0,-623410.3514
1308.0,-623051.5154
1310.0,-623746.8957
1312.0,-622932.2015
1314.0,-622922.1806
1316.0,-623293.3034
1318.0,-623738.0575
1320.0,-623359.1492
1322.0,-623022.6002
1324.0,-622799.3132
1326.0,-623275.2259
1328.0,-623321.6042
1330.0,-623745.2034
1332.0,-623607.8037
1334.0,-623584.1691
1336.0,-623232.7906
1338.0,-623156.946
1340.0,-622833.3283
1342.0,-623135.3427
1344.0,-623393.3474
1346.0,-623452.3656
1348.0,-623207.7646
1350.0,-622911.6266
1352.0,-623076.4193
1354.0,-623587.1573
1356.0,-622967.5791
1358.0,-623025.4388
1360.0,-623783.1197
1362.0,-623105.8185
1364.0,-623498.1744
1366.0,-623265.738
1368.0,-623344.9095
1370.0,-623334.3623
1372.0,-623899.6837
1374.0,-623236.7499
1376.0,-623478.8444
1378.0,-623061.0183
1380.0,-623252.8858
1382.0,-623007.4556
1384.0,-623978.1198
1386.0,-623237.3823
1388.0,-623447.1541
1390.0,-623050.8924
1392.0,-623414.8419
1394.0,-623804.295
1396.0,-623250.0832
1398.0,-623670.8495
1400.0,-623745.7148
1402.0,-623063.7079
1404.0,-623105.359
1406.0,-623227.7769
1408.0,-623235.4371
1410.0,-623940.4786
1412.0,-623599.3728
1414.0,-623474.8327
1416.0,-623304.3916
1418.0,-623100.0881
1420.0,-623648.6092
1422.0,-623774.3181
1424.0,-623590.0049
1426.0,-623540.4149
1428.0,-623282.3348
1430.0,-622891.1909
1432.0,-623439.7504
1434.0,-623502.4223
1436.0,-623777.2727
1438.0,-623471.0685
1440.0,-623509.2346
1442.0,-623233.7449
1444.0,-623370.6741
1446.0,-623411.0181
1448.0,-623904.4033
1450.0,-624020.4058
1452.0,-623515.1707
1454.0,-623431.5638
1456.0,-624097.921
1458.0,-623505.8259
1460.0,-623523.2045
1462.0,-623057.79
1464.0,-623799.1031
1466.0,-623414.1847
1468.0,-623507.0276
1470.0,-624185.3569
1472.0,-623929.1658
1474.0,-624417.5642
1476.0,-623550.9575
1478.0,-623425.8201
1480.0,-623167.6929
1482.0,-623519.6701
1484.0,-623756.2047
1486.0,-623728.5127
1488.0,-623640.2565
1490.0,-623494.9196
