Time (ps),EPTOT
20.2,-878673.6786
20.4,-878835.9558
20.6,-879138.2732
20.8,-879235.0283
21.0,-879318.8496
21.2,-879830.9973
21.4,-879987.5553
21.6,-880017.0254
21.8,-880422.7905
22.0,-880499.4438
22.2,-880588.769
22.4,-880979.7879
22.6,-881860.3826
22.8,-881439.1979
23.0,-881699.6283
23.2,-881651.9453
23.4,-881886.6508
23.6,-882059.7413
23.8,-881731.4303
24.0,-882175.1694
24.2,-882135.1693
24.4,-882501.6828
24.6,-883000.7099
24.8,-883184.4164
25.0,-883484.9427
25.2,-883378.0008
25.4,-883156.7826
25.6,-883554.0002
25.8,-883394.5139
26.0,-883868.3452
26.2,-884249.2741
26.4,-884159.3892
26.6,-884303.8318
26.8,-884905.7324
27.0,-884417.0195
27.2,-884679.6048
27.4,-884612.863
27.6,-884867.3632
27.8,-884811.3526
28.0,-884996.9669
28.2,-885107.6486
28.4,-885220.1375
28.6,-885394.8308
28.8,-885570.2416
29.0,-885682.9359
29.2,-886178.5389
29.4,-885761.5187
29.6,-886431.7495
29.8,-886313.4003
30.0,-886252.1141
30.2,-886239.866
30.4,-886286.3502
30.6,-886286.6941
30.8,-886397.2198
31.0,-886745.4225
31.2,-886693.8616
31.4,-886759.5989
31.6,-886973.1174
31.8,-887161.0146
32.0,-887151.0165
32.2,-887292.5113
32.4,-887111.9794
32.6,-887408.8742
32.8,-887671.0024
33.0,-887569.2641
33.2,-887542.1267
33.4,-887789.6646
33.6,-888270.9433
33.8,-887992.4204
34.0,-888298.8702
34.2,-888460.8145
34.4,-888048.8035
34.6,-887937.5472
34.8,-888205.2591
35.0,-888717.8319
35.2,-888739.753
35.4,-888316.8659
35.6,-888423.7468
35.8,-888515.6158
36.0,-888617.8966
36.2,-888622.6072
36.4,-888852.9486
36.6,-888614.8985
36.8,-889091.7343
37.0,-889114.9717
37.2,-888844.0374
37.4,-889209.7176
37.6,-889210.0684
37.8,-889280.3848
38.0,-889498.9624
38.2,-889696.8846
38.4,-889658.082
38.6,-889672.6073
38.8,-889357.7595
39.0,-890104.1442
39.2,-889993.7839
39.4,-889887.8003
39.6,-889834.2825
39.8,-890091.9387
40.0,-889991.6732
40.2,-890204.2095
40.4,-890338.0946
40.6,-890287.1002
40.8,-890436.7018
41.0,-890322.9698
41.2,-889951.716
41.4,-890415.0939
41.6,-890757.4386
41.8,-890573.0234
42.0,-890797.1862
42.2,-891073.2655
42.4,-891278.7558
42.6,-890965.8899
42.8,-891225.3869
43.0,-890811.8559
43.2,-891231.2178
43.4,-891393.7156
43.6,-891448.7727
43.8,-891008.5069
44.0,-891621.8507
44.2,-891500.5268
44.4,-891533.6552
44.6,-891530.5284
44.8,-892062.5512
45.0,-891966.6973
45.2,-891857.042
45.4,-891978.5139
45.6,-892386.7221
45.8,-892550.4056
46.0,-892719.8024
46.2,-892402.885
46.4,-892695.2468
46.6,-892524.1479
46.8,-893022.9539
47.0,-893265.29
47.2,-893398.8717
47.4,-893616.1088
47.6,-893810.955
47.8,-893505.2311
48.0,-893606.0913
48.2,-893961.7628
48.4,-894050.2223
48.6,-894244.6236
48.8,-894505.0427
49.0,-894702.0968
49.2,-894873.3747
49.4,-895292.0026
49.6,-895367.5363
49.8,-895694.8897
50.0,-895955.0794
50.2,-896181.5028
50.4,-896481.3693
50.6,-896604.2811
50.8,-897532.1691
51.0,-897934.4068
51.2,-897908.8669
51.4,-898176.4867
51.6,-898494.0646
51.8,-898572.8562
52.0,-899305.5827
52.2,-899404.525
52.4,-899485.629
52.6,-899725.4239
52.8,-899741.5693
53.0,-900026.2383
53.2,-900770.1499
53.4,-900775.1479
53.6,-901276.0855
53.8,-901191.8336
54.0,-901236.3485
54.2,-901940.5604
54.4,-901824.3575
54.6,-901917.1708
54.8,-902131.2053
55.0,-902242.9405
55.2,-902529.7007
55.4,-902825.0766
55.6,-902936.7106
55.8,-903416.8511
56.0,-903652.2189
56.2,-903308.2724
56.4,-903594.6198
56.6,-903526.7794
