Time (ps),ETOT
22.0,-560870.6485
24.0,-562658.1011
26.0,-563632.6059
28.0,-564469.2114
30.0,-565289.537
32.0,-565875.3246
34.0,-566049.1268
36.0,-566788.0867
38.0,-567023.2053
40.0,-567815.7495
42.0,-568405.784
44.0,-569127.013
46.0,-569147.1507
48.0,-569262.2341
50.0,-569757.3007
52.0,-569958.9737
54.0,-570091.4859
56.0,-570823.6981
58.0,-571121.2164
60.0,-570697.1721
62.0,-571317.8994
64.0,-571421.8611
66.0,-571981.2062
68.0,-571694.7169
70.0,-572131.9592
72.0,-571998.8576
74.0,-572073.1539
76.0,-572210.7765
78.0,-572501.7889
80.0,-572911.3976
82.0,-573202.3265
84.0,-573346.3231
86.0,-573355.5406
88.0,-573351.1684
90.0,-573339.897
92.0,-574072.1358
94.0,-573611.411
96.0,-574047.28
98.0,-573689.4515
100.0,-574200.3954
102.0,-574057.1614
104.0,-574099.2498
106.0,-574301.4714
108.0,-574526.5486
110.0,-574733.8085
112.0,-574387.1594
114.0,-574673.7618
116.0,-575409.8258
118.0,-575454.997
120.0,-575667.7881
122.0,-575265.6585
124.0,-575375.7235
126.0,-575097.8138
128.0,-575146.5736
130.0,-576110.7636
132.0,-575381.8611
134.0,-575485.0938
136.0,-575238.535
138.0,-575991.4258
140.0,-575845.4742
142.0,-575749.9456
144.0,-575946.6093
146.0,-576236.0962
148.0,-576340.44
150.0,-575899.3986
152.0,-575877.2684
154.0,-576264.777
156.0,-576330.4104
158.0,-576219.3525
160.0,-576263.8563
162.0,-576464.4775
164.0,-576462.1184
166.0,-576674.8194
168.0,-576479.232
170.0,-576413.9212
172.0,-576297.8048
174.0,-577054.0107
176.0,-576821.8208
178.0,-577122.8566
180.0,-577312.6301
182.0,-576923.344
184.0,-576803.7404
186.0,-577055.209
188.0,-576975.939
190.0,-576956.0884
192.0,-577761.7408
194.0,-577201.7961
196.0,-577577.0921
198.0,-577459.4034
200.0,-577458.7714
202.0,-578038.4249
204.0,-577969.9902
206.0,-577954.4451
208.0,-577882.8905
210.0,-577504.0788
212.0,-577485.1633
214.0,-577234.2555
216.0,-577527.8329
218.0,-577931.1342
220.0,-577153.259
222.0,-578546.0169
224.0,-577825.2845
226.0,-577726.0424
228.0,-577596.5059
230.0,-578056.5574
232.0,-578037.0325
234.0,-577593.9644
236.0,-578255.255
238.0,-577594.5037
240.0,-578294.1114
242.0,-577984.8988
244.0,-577414.466
246.0,-578253.9583
248.0,-578636.2469
250.0,-578352.1911
252.0,-578841.328
254.0,-578696.8786
256.0,-578309.3394
258.0,-578417.7596
260.0,-578690.8095
262.0,-577892.0695
264.0,-578749.8708
266.0,-578556.0101
268.0,-578494.793
270.0,-578657.1418
272.0,-578629.0118
274.0,-578365.3749
276.0,-578462.6039
278.0,-579086.8979
280.0,-578275.6261
282.0,-578684.0271
284.0,-578541.7172
286.0,-579587.4733
288.0,-578710.0688
290.0,-578891.9111
292.0,-579410.6889
294.0,-578774.6762
