Time (ps),Radius of gyration (A)
0.0,31.88604624127385
2.0,31.836244665560613
4.0,31.8018081957182
6.0,31.770729646412143
8.0,31.718400563431793
10.0,31.707673267202004
12.0,31.71110566912903
14.0,31.703866947520154
16.0,31.630620315754285
18.0,31.61878617574827
20.0,31.60724903053536
22.0,31.60666298525089
24.0,31.578009835871534
26.0,31.571788733042492
28.0,31.550048223341886
30.0,31.58126808295057
32.0,31.564961557669452
34.0,31.565442235868172
36.0,31.517663151714803
38.0,31.565002714160414
40.0,31.526049704642865
42.0,31.570637319267586
44.0,31.54418737530235
46.0,31.553236169747493
48.0,31.523515376581102
50.0,31.519952935793306
52.0,31.532611537547506
54.0,31.51218800780935
56.0,31.489376138979992
58.0,31.47305087599246
60.0,31.4838547941935
62.0,31.486495862577915
64.0,31.486767355727135
66.0,31.439608863574247
68.0,31.49211081300408
70.0,31.486777683204902
72.0,31.472615224726383
74.0,31.460635491958154
76.0,31.465331610295447
78.0,31.450655592751126
80.0,31.440162661339922
82.0,31.484268952296205
84.0,31.486363003823325
86.0,31.465137022439716
88.0,31.460013303560732
90.0,31.432752857243027
92.0,31.480066013037217
94.0,31.466424305367813
96.0,31.460673105626523
98.0,31.435009509998018
100.0,31.448026587011785
102.0,31.454154241382728
104.0,31.48879944547714
106.0,31.452265067391366
108.0,31.470685771665707
110.0,31.479668677012345
112.0,31.4877104048038
114.0,31.475026748286428
116.0,31.44376040351186
118.0,31.497179892886038
120.0,31.468433920276993
122.0,31.520952392654024
124.0,31.48536216715582
126.0,31.494882415454818
128.0,31.490767330574222
130.0,31.470560772431032
132.0,31.47063228521071
134.0,31.4750235897963
136.0,31.460989201656403
138.0,31.480903349423944
140.0,31.465409915760485
142.0,31.469449623257592
144.0,31.50210837462474
146.0,31.47022934274692
148.0,31.509715055709098
150.0,31.47888088463714
152.0,31.46869970485115
154.0,31.49694343374715
156.0,31.480093542611485
158.0,31.46162167884505
160.0,31.470374406042698
162.0,31.503924262575172
164.0,31.492647028434344
166.0,31.52484791454966
168.0,31.510869447430945
170.0,31.49572119786965
172.0,31.5099798439553
174.0,31.510010355180466
176.0,31.4893065601664
178.0,31.477492166919028
180.0,31.471044134780715
182.0,31.50583689860709
184.0,31.508518530837407
186.0,31.483281429553404
188.0,31.47778450351485
190.0,31.479248794624358
192.0,31.502030363225305
194.0,31.50153916754545
196.0,31.502355396800244
198.0,31.502167374710783
200.0,31.516541334783984
202.0,31.49825500977873
204.0,31.509799220185585
206.0,31.49132974363578
208.0,31.451730994873213
210.0,31.496848248228826
212.0,31.484083027572204
214.0,31.50938532169812
216.0,31.49405530991746
218.0,31.499438125164904
220.0,31.49387723660122
222.0,31.519643125330933
224.0,31.52235950721113
226.0,31.48538495003712
228.0,31.490128571604025
230.0,31.471008617047254
232.0,31.470441249540276
234.0,31.457486550429447
236.0,31.49198812083487
238.0,31.477197841697453
240.0,31.48044345570558
242.0,31.471594089854854
244.0,31.47963701096919
246.0,31.47306556057732
248.0,31.465343164287074
250.0,31.479746620777426
252.0,31.490820495641298
254.0,31.486849090895266
256.0,31.482439766152826
258.0,31.426760025006267
260.0,31.466728379161903
262.0,31.45899038864536
264.0,31.44857436677551
266.0,31.475695670940826
268.0,31.45945361059853
270.0,31.45596163936928
272.0,31.453226992310928
274.0,31.495411252962413
276.0,31.468891037322003
278.0,31.45924624832704
280.0,31.43761407214765
282.0,31.486461105663455
284.0,31.474270058061553
286.0,31.45119025987758
288.0,31.429543765339922
290.0,31.46502399365948
292.0,31.44905538142201
294.0,31.462482759114135
296.0,31.43151412124765
298.0,31.437168611242818
300.0,31.466303367429934
302.0,31.440938305302836
304.0,31.442379063251337
306.0,31.460806788338033
308.0,31.45373228883381
310.0,31.452694412338484
312.0,31.44717971061267
314.0,31.441767732545824
316.0,31.442825801764545
318.0,31.461978847106746
320.0,31.475171492607334
322.0,31.460002520413173
324.0,31.447460176580304
326.0,31.47235445055514
328.0,31.428432278257983
330.0,31.46053580149808
332.0,31.454359962324798
334.0,31.424074366305437
336.0,31.448322159397964
338.0,31.45300956934257
340.0,31.441767597576817
342.0,31.48101271504729
344.0,31.472187390356826
346.0,31.479537843133897
348.0,31.45807937179096
350.0,31.44838558221753
352.0,31.460542353893555
354.0,31.47436372892042
356.0,31.461537448621783
358.0,31.434891547851255
360.0,31.460154338074307
362.0,31.48502271402757
364.0,31.455015198180906
366.0,31.458527339047905
368.0,31.45189810158301
370.0,31.453385088820824
372.0,31.459031091806207
374.0,31.445908261048377
376.0,31.466750666708386
378.0,31.45486315312352
380.0,31.45587743997054
382.0,31.465264076436128
384.0,31.434927766266146
386.0,31.46707612743674
388.0,31.45682115899671
390.0,31.4668298718987
392.0,31.450420021732924
394.0,31.43041566916677
396.0,31.47789411916084
398.0,31.455167295838894
400.0,31.45821068293492
402.0,31.456020523916816
404.0,31.504919435367505
406.0,31.445679446588688
408.0,31.442883427016415
410.0,31.478527515146336
412.0,31.4463404941488
414.0,31.480961921029532
416.0,31.47995131823691
418.0,31.454912319950882
420.0,31.434594540008515
422.0,31.450316380003954
424.0,31.479407688995845
426.0,31.462504199097268
428.0,31.44889007097488
430.0,31.46331655639179
432.0,31.456550228701097
434.0,31.48857108334414
436.0,31.502799996124697
438.0,31.479091040521855
440.0,31.485415232717532
442.0,31.472894705635102
444.0,31.481335333986504
446.0,31.455480061203662
448.0,31.44070747481487
450.0,31.46871956452389
452.0,31.48341449000131
454.0,31.459526148112076
456.0,31.453634909244293
458.0,31.455651078088586
460.0,31.48169016280955
462.0,31.475062834825437
464.0,31.4784857848921
466.0,31.4696905128073
468.0,31.479276049346428
470.0,31.469013188359636
472.0,31.460318174205597
474.0,31.44538502905535
476.0,31.45569190405234
478.0,31.453094444093274
480.0,31.44308875797423
482.0,31.486196584063137
484.0,31.44399423705271
486.0,31.465619527071105
488.0,31.50031498107042
490.0,31.453028154940657
492.0,31.46528726429425
494.0,31.464935718181856
496.0,31.45135540924108
498.0,31.476829889237624
500.0,31.500977006999207
502.0,31.46852299624891
504.0,31.504681022378666
506.0,31.48668842339241
508.0,31.440205517002497
510.0,31.48400525869489
512.0,31.46052746404654
514.0,31.486508030120895
516.0,31.491301685793587
518.0,31.462797250186906
520.0,31.47506137814273
522.0,31.469053322394807
524.0,31.4722225898926
526.0,31.503099201954214
528.0,31.46711830384997
530.0,31.472016040842043
532.0,31.454496893097573
534.0,31.453486232442504
536.0,31.482197148603333
538.0,31.439691313131497
540.0,31.496566101398212
542.0,31.470771791396587
544.0,31.49981589788874
546.0,31.498114667339145
548.0,31.474700346024093
550.0,31.476838111137464
552.0,31.45224997606261
554.0,31.456238204726024
556.0,31.493104844041365
558.0,31.476096430372355
560.0,31.45163365620505
562.0,31.4912738825547
564.0,31.478252629998522
566.0,31.46283776668494
568.0,31.506669693709306
570.0,31.459687869584943
572.0,31.477845753812915
574.0,31.47225610507208
576.0,31.470563150315723
578.0,31.48159634282639
580.0,31.479755896939132
582.0,31.458945572351105
584.0,31.474242143852987
586.0,31.475237252993843
588.0,31.485180048702226
590.0,31.459206732466168
592.0,31.461948361075635
594.0,31.466321477305783
596.0,31.483084885254492
598.0,31.496502561558348
600.0,31.48772582631443
602.0,31.49262481165839
604.0,31.47809510938988
606.0,31.511057415443155
608.0,31.473747408279703
610.0,31.46643294991656
612.0,31.48274755829466
