Time (ps),EKTOT
20.2,90439.4412
20.4,90173.0812
20.6,90285.8333
20.8,90416.9375
21.0,90512.4445
21.2,90229.8326
21.4,90311.5158
21.6,90800.2953
21.8,90450.0227
22.0,90478.7928
22.2,90317.5285
22.4,90236.1928
22.6,90314.3036
22.8,89948.3188
23.0,90525.7004
23.2,90339.8774
23.4,90410.4215
23.6,90344.9114
23.8,90704.6813
24.0,90382.7637
24.2,90497.5972
24.4,90066.2486
24.6,90209.1849
24.8,90447.2873
25.0,90160.9811
25.2,90465.8381
25.4,90233.4335
25.6,90593.9883
25.8,90362.4679
26.0,90314.4557
26.2,90035.8578
26.4,90427.7447
26.6,90465.7357
26.8,90502.4257
27.0,90425.2092
27.2,90293.866
27.4,90479.7763
27.6,90102.6063
27.8,90544.2719
28.0,90389.0412
28.2,90274.0441
28.4,90358.5324
28.6,90492.797
28.8,90371.6525
29.0,90343.6271
29.2,90475.1017
29.4,90703.1083
29.6,90211.7845
29.8,90120.2373
30.0,90446.8412
30.2,90092.4809
30.4,89801.22
30.6,90318.8288
30.8,90094.2127
31.0,90320.8367
31.2,89966.2261
31.4,90057.823
31.6,89524.9207
31.8,90053.6379
32.0,90381.357
32.2,90292.4794
32.4,90001.8529
32.6,89859.531
32.8,90280.9805
33.0,90193.2888
33.2,89672.1486
33.4,90029.2175
33.6,90355.3131
33.8,89844.5774
34.0,90101.5592
34.2,89895.7777
34.4,90258.5729
34.6,90420.0352
34.8,90191.6409
35.0,90560.322
35.2,90296.863
35.4,90233.1574
35.6,90126.9691
35.8,90587.3814
36.0,90069.4543
36.2,90398.311
36.4,90477.0783
36.6,90798.8873
36.8,90056.3718
37.0,90107.2744
37.2,90119.6827
37.4,89927.6109
37.6,90379.343
37.8,90458.0984
38.0,90426.3521
38.2,90160.4487
38.4,90169.7467
38.6,90432.4224
38.8,90487.9254
39.0,90132.1368
39.2,90158.7126
39.4,89639.2123
39.6,90041.8667
39.8,90269.8154
40.0,90298.3281
40.2,90073.6625
40.4,90135.7031
40.6,90060.2187
40.8,90299.8694
41.0,89834.4436
41.2,90173.6608
41.4,90196.2844
41.6,90403.8884
41.8,90287.7788
42.0,90265.1792
42.2,90344.5739
42.4,90077.8167
42.6,90241.6212
42.8,90192.0919
43.0,90271.0017
43.2,90511.1833
43.4,90486.913
43.6,90373.2941
43.8,90241.7041
44.0,90788.5054
44.2,90266.5176
44.4,90299.8222
44.6,90031.6782
44.8,90081.2815
45.0,89502.2842
45.2,89917.6109
45.4,89887.7022
45.6,89822.4996
45.8,90012.0329
46.0,90025.4484
46.2,90046.8603
46.4,90041.3122
46.6,90300.2356
46.8,89831.3355
47.0,90384.5979
47.2,90540.0756
47.4,90414.4149
47.6,90217.0512
47.8,90635.9113
48.0,90123.2587
48.2,89987.431
48.4,90230.8646
48.6,90234.6278
48.8,90155.0009
49.0,90011.1611
49.2,90472.5515
49.4,90066.0517
49.6,89920.8457
49.8,89697.5001
50.0,89682.4552
50.2,90417.7737
50.4,90101.3028
50.6,90098.8408
50.8,89794.1039
51.0,89973.8924
51.2,90246.4518
51.4,89839.8436
51.6,90489.8556
51.8,90159.8347
52.0,90409.9621
52.2,90087.6342
52.4,89807.5086
52.6,90452.7227
52.8,90150.6764
53.0,90265.0333
53.2,89858.6791
53.4,90034.075
53.6,90068.4003
53.8,90191.5281
54.0,90100.6925
54.2,89921.5159
54.4,90010.3249
54.6,90003.6368
54.8,90394.0188
55.0,90174.191
55.2,90156.9258
55.4,90202.8925
55.6,90003.0016
55.8,90446.4912
56.0,90115.1549
56.2,90351.482
56.4,90251.2534
56.6,90181.6016
56.8,90203.9848
57.0,90409.0633
57.2,90224.5954
57.4,90227.1478
57.6,90114.7875
57.8,90174.9579
58.0,89983.588
58.2,90246.797
58.4,89831.5217
58.6,90225.5899
58.8,89924.6363
59.0,90178.063
59.2,90002.1343
59.4,89710.4789
59.6,90295.1458
59.8,90030.7834
60.0,90125.5121
60.2,90037.1782
60.4,90300.1645
60.6,90378.6045
60.8,90248.9637
61.0,89973.7685
61.2,90035.7523
61.4,90318.0971
61.6,89963.8045
61.8,89653.2188
62.0,89673.998
62.2,90129.6572
62.4,89729.0442
62.6,89590.6089
62.8,90733.7595
63.0,90249.1532
63.2,90116.4797
63.4,90238.4192
63.6,90343.1173
63.8,90323.5911
64.0,89897.2855
64.2,89626.1264
64.4,90025.3538
64.6,90011.9989
64.8,90031.2811
65.0,90278.3051
65.2,90316.8372
65.4,89824.8669
65.6,89755.3305
65.8,89477.1115
66.0,89823.295
66.2,90080.4105
66.4,90303.9683
66.6,90405.4474
66.8,90504.2355
67.0,90404.5558
67.2,90414.0825
67.4,90292.1976
67.6,90423.7497
67.8,90576.3797
68.0,90244.8834
68.2,90407.5526
68.4,90415.3603
68.6,90468.5106
68.8,90038.4434
69.0,90456.6724
69.2,90434.7976
69.4,90031.951
69.6,90328.4775
69.8,90591.9185
70.0,90522.9014
70.2,90347.7491
70.4,90736.7722
70.6,90599.0133
70.8,90491.3214
71.0,89722.5736
71.2,90150.7677
71.4,90368.6341
71.6,90274.236
71.8,90420.0359
72.0,90576.4763
72.2,90356.6674
72.4,90307.107
72.6,90577.283
72.8,90484.521
73.0,90393.5795
73.2,90028.9921
73.4,90438.9895
73.6,90133.8958
73.8,90227.1442
74.0,90377.6613
74.2,90197.771
74.4,90321.1307
74.6,90431.2126
74.8,90372.9204
75.0,90191.6533
75.2,90508.9076
75.4,90450.0952
75.6,90700.2042
75.8,90249.8161
76.0,90318.8814
76.2,90498.9476
76.4,90237.9851
76.6,90433.6836
76.8,90136.4217
77.0,90450.2168
77.2,90401.9603
77.4,90446.637
77.6,90615.5668
77.8,90280.4245
78.0,90056.7777
78.2,90315.9537
78.4,89704.1017
78.6,90497.9414
78.8,90458.7591
79.0,90046.9798
79.2,90272.8587
79.4,89777.1558
79.6,90007.6932
79.8,90355.8581
80.0,90558.8673
80.2,90447.527
80.4,90225.9787
80.6,90675.7312
80.8,90263.7562
81.0,90158.8197
81.2,90217.7748
81.4,90351.5704
81.6,90288.173
81.8,90288.582
82.0,90204.1259
82.2,89987.715
82.4,90421.6209
82.6,89888.3434
82.8,89990.2618
83.0,90038.6046
83.2,90384.1104
83.4,90328.1113
83.6,90467.0896
83.8,90106.4964
84.0,90622.7598
84.2,90283.0815
84.4,90114.2985
84.6,89756.0237
84.8,90003.8228
85.0,89669.6973
85.2,90375.4041
85.4,90270.592
85.6,90381.2792
85.8,90266.3324
86.0,90032.4739
86.2,90038.7022
86.4,90246.3214
86.6,90155.5667
86.8,89833.8136
87.0,89967.3901
87.2,90109.6235
87.4,90188.659
87.6,90202.9302
87.8,90485.6271
88.0,90564.456
88.2,90258.5669
88.4,89825.4068
88.6,90266.0425
88.8,89972.394
89.0,90130.927
89.2,90422.463
89.4,90265.9687
89.6,90078.7894
89.8,89953.3727
90.0,90349.3514
90.2,90352.1101
90.4,90272.3668
90.6,90105.4159
90.8,90236.3866
91.0,90092.7106
91.2,90122.1624
91.4,90284.508
91.6,90090.6017
91.8,90213.2904
92.0,89899.975
92.2,89703.5312
92.4,90077.1096
92.6,90213.6703
92.8,90056.8559
93.0,90333.2015
93.2,90615.4293
93.4,89855.3664
93.6,90114.7194
93.8,90117.2557
94.0,89856.9689
94.2,90134.0657
94.4,89972.7075
94.6,90215.4246
94.8,90055.6207
95.0,90236.7529
95.2,90290.3886
95.4,90411.985
95.6,90510.8972
95.8,90321.9663
96.0,90606.8939
96.2,90225.3088
96.4,90017.3323
96.6,90295.6789
96.8,90040.6413
97.0,89901.5359
97.2,90048.9443
97.4,89828.2506
97.6,89675.8371
97.8,89976.2141
98.0,89795.6818
98.2,90332.404
98.4,89893.5553
98.6,89722.1874
98.8,90164.7949
99.0,89693.3752
99.2,89899.4425
99.4,89991.1539
99.6,89914.4201
99.8,90240.4764
100.0,89960.0996
100.2,90158.1998
100.4,90258.7406
100.6,90065.7713
100.8,89976.7391
101.0,90029.221
101.2,90443.977
101.4,90467.2683
101.6,90074.8706
101.8,90228.9376
102.0,90360.7651
