Time (ps),EKTOT
20.2,84424.1309
20.4,84631.9776
20.6,84240.3576
20.8,84542.2099
21.0,84235.0141
21.2,84424.834
21.4,84245.3948
21.6,84244.673
21.8,84376.5676
22.0,84234.1358
22.2,84014.5496
22.4,83574.0409
22.6,84111.8177
22.8,83989.4004
23.0,83893.1035
23.2,83741.1527
23.4,83762.5072
23.6,84073.215
23.8,83625.7353
24.0,84151.7535
24.2,83849.9551
24.4,83891.6572
24.6,84149.9601
24.8,84082.8849
25.0,84244.8231
25.2,84093.9444
25.4,84061.5044
25.6,84248.7371
25.8,83899.6763
26.0,84241.9144
26.2,84039.7554
26.4,83919.4417
26.6,83659.8685
26.8,84078.4528
27.0,83674.9985
27.2,84337.312
27.4,84110.7067
27.6,84177.2857
27.8,84053.2728
28.0,84262.4248
28.2,84288.0043
28.4,83988.1288
28.6,83994.6585
28.8,84002.1221
29.0,84121.6534
29.2,84239.6595
29.4,83993.139
29.6,84063.9048
29.8,84148.1116
30.0,84038.4723
30.2,84200.2828
30.4,84030.4595
30.6,84287.9364
30.8,84048.3456
31.0,84136.8046
31.2,83901.4736
31.4,83821.6521
31.6,83855.6091
31.8,83984.6132
32.0,83878.8745
32.2,83837.1935
32.4,83672.7888
32.6,84279.653
32.8,84014.198
33.0,83779.3359
33.2,83778.1121
33.4,83599.3356
33.6,84060.9522
33.8,83720.9613
34.0,83595.6499
34.2,83834.6477
34.4,83727.8089
34.6,83650.9691
34.8,84115.6674
35.0,84487.0162
35.2,84247.1182
35.4,84191.4225
35.6,84451.9285
35.8,84162.2695
36.0,84228.2937
36.2,84068.4829
36.4,84403.11
36.6,83791.9266
36.8,84171.9479
37.0,84376.5173
37.2,83946.1489
37.4,84115.3446
37.6,83819.3026
37.8,84042.1181
38.0,83799.4377
38.2,84092.4812
38.4,84145.4184
38.6,84508.696
38.8,83722.4617
39.0,84008.1494
39.2,83825.2432
39.4,83653.8026
39.6,83856.848
39.8,83849.3513
40.0,83789.9594
40.2,83774.0409
40.4,84136.6064
40.6,83979.6972
40.8,84287.63
41.0,84056.5761
41.2,84040.1263
41.4,84009.9114
41.6,84334.4687
41.8,83621.3231
42.0,83898.7125
42.2,83948.6495
42.4,84182.22
42.6,83918.1946
42.8,84115.2686
43.0,83951.805
43.2,84111.6622
43.4,84287.5649
43.6,83949.5631
43.8,84062.8375
44.0,84324.4218
44.2,83990.4755
44.4,83914.2925
44.6,83798.8011
44.8,84329.6955
45.0,83647.5375
45.2,83666.3329
45.4,83458.2349
45.6,84166.1434
45.8,83704.8168
46.0,83669.0707
46.2,83468.3533
46.4,84163.6155
46.6,83682.3233
46.8,84042.7913
47.0,84044.8514
47.2,84153.7972
47.4,84108.45
47.6,84055.596
47.8,83774.933
48.0,83602.3784
48.2,84236.0634
48.4,84527.768
48.6,84615.6236
48.8,84111.2531
49.0,84202.2024
49.2,84408.6113
49.4,84343.4768
49.6,83905.522
49.8,84298.5586
50.0,84624.7874
50.2,84442.8305
50.4,84144.2294
50.6,84072.8451
50.8,84163.9039
51.0,84192.5133
51.2,84190.6618
51.4,84049.2045
51.6,83901.6488
51.8,83898.882
52.0,84309.1153
52.2,83937.1037
52.4,83859.5311
52.6,84075.9678
52.8,84045.9152
53.0,84315.7799
53.2,83923.879
53.4,84028.6852
53.6,84144.8615
53.8,84169.4207
54.0,83956.3162
54.2,84190.4485
54.4,84268.5834
54.6,84449.3962
54.8,84333.0953
55.0,84294.3818
55.2,83997.9975
55.4,84235.3474
55.6,83745.5392
55.8,84208.2719
56.0,84125.7411
56.2,83762.2605
56.4,83830.3872
56.6,84220.1119
56.8,84409.2627
57.0,84045.4265
57.2,83977.7702
57.4,84223.595
57.6,84408.918
57.8,83961.4918
58.0,84089.2992
58.2,84219.7731
58.4,83759.6318
58.6,84027.2475
58.8,84332.8175
59.0,84392.2089
59.2,83928.6478
59.4,83907.6035
59.6,84259.7236
59.8,84137.5461
60.0,84089.3496
60.2,84129.3957
60.4,84279.6407
60.6,84071.997
60.8,84516.3485
61.0,83890.1999
61.2,84122.9059
61.4,84056.0185
61.6,84360.1187
61.8,84573.7776
62.0,83973.0066
62.2,84162.8109
62.4,83861.7911
62.6,83964.4411
62.8,84148.6387
63.0,84262.7467
63.2,84453.6635
63.4,84028.1275
63.6,84139.552
63.8,84159.4569
64.0,83711.969
64.2,83728.1109
64.4,83669.1319
64.6,83778.6519
64.8,83988.9706
65.0,84119.9123
65.2,84081.5737
65.4,83803.8745
65.6,83882.5089
65.8,83983.632
66.0,83987.1796
66.2,84149.7557
66.4,84113.7475
66.6,84328.7802
66.8,84195.5097
67.0,84363.3406
67.2,84197.4947
67.4,84414.7773
67.6,84330.0793
67.8,83889.4499
68.0,83965.9598
68.2,84068.5096
68.4,83978.8569
68.6,84406.4201
68.8,83890.7695
69.0,83648.6593
69.2,84159.5823
69.4,84103.4362
69.6,83878.968
69.8,83603.7688
70.0,83866.3094
70.2,83697.9815
70.4,84085.4148
70.6,83921.3315
70.8,84469.8511
71.0,84051.9979
71.2,84344.5005
71.4,84299.3176
71.6,84019.2285
71.8,84175.4049
72.0,83909.171
72.2,83811.2108
72.4,84090.2552
72.6,83701.1698
72.8,84070.1696
73.0,83811.5753
73.2,84121.2267
73.4,83894.9931
73.6,83816.9707
73.8,83702.8652
74.0,84060.2691
74.2,84064.9293
74.4,83713.2142
74.6,83950.397
74.8,84185.1974
75.0,83546.2411
75.2,83363.2602
75.4,83950.3616
75.6,83896.3636
75.8,83633.1157
76.0,84193.8333
76.2,84222.7362
76.4,83982.0522
76.6,83587.5028
76.8,84044.993
77.0,83829.7857
77.2,84185.3639
77.4,84218.1264
77.6,83906.5128
77.8,83997.6221
78.0,84253.1486
78.2,84036.8785
78.4,84120.0661
78.6,84073.2425
78.8,84086.3729
79.0,83525.4753
79.2,83904.7976
79.4,83994.5953
79.6,84103.283
79.8,83797.292
80.0,84064.0962
80.2,83989.5567
80.4,83967.9376
80.6,83596.6766
80.8,83753.7444
81.0,84300.3589
81.2,83711.4081
81.4,83695.034
81.6,83444.5643
81.8,83737.0536
82.0,83923.035
82.2,83908.6776
82.4,83780.6796
82.6,83897.0455
82.8,83677.5836
83.0,83728.8993
83.2,83995.5624
83.4,83963.3388
83.6,83709.0824
83.8,83887.092
84.0,84046.8348
84.2,83952.9731
84.4,83738.7468
84.6,84426.8829
84.8,84104.0354
85.0,84083.3711
85.2,83900.3272
85.4,84228.587
85.6,84139.7794
85.8,83805.9922
86.0,84152.9093
86.2,84232.0867
86.4,84001.9447
86.6,84303.5997
86.8,83982.0359
87.0,84131.6987
87.2,84153.9552
87.4,84009.487
87.6,83602.424
87.8,83832.8249
88.0,83683.1519
88.2,84589.2678
88.4,84280.4084
88.6,83931.6414
88.8,83883.1435
89.0,84052.2229
89.2,84101.3865
89.4,84081.6948
89.6,84014.9914
89.8,84445.5547
90.0,83911.0543
90.2,84056.624
90.4,83670.7656
90.6,83683.2697
90.8,83803.7571
91.0,83550.775
91.2,83697.8033
91.4,84220.797
91.6,84236.4315
91.8,84042.5904
92.0,84320.2637
92.2,84000.2474
92.4,84086.4003
92.6,84115.8343
92.8,84109.276
93.0,83922.3202
93.2,83970.7879
93.4,84040.6062
93.6,84062.493
93.8,83926.4075
94.0,83967.8324
94.2,84045.7231
94.4,83764.9227
94.6,83914.984
94.8,84004.0053
95.0,84150.8907
95.2,84340.4891
95.4,84232.1219
95.6,84321.576
95.8,83991.7986
96.0,84042.2956
96.2,84247.2484
96.4,84150.7902
96.6,84109.4594
96.8,83950.4981
97.0,84014.9576
97.2,83801.5089
97.4,83555.2072
97.6,83421.29
97.8,83758.8862
98.0,83846.159
98.2,84045.221
98.4,83784.9475
98.6,83900.6421
98.8,84143.3859
99.0,83904.3881
99.2,83889.5647
99.4,84100.9319
99.6,84094.2124
99.8,83915.6811
100.0,83749.4836
100.2,83841.4666
100.4,83945.0548
100.6,84220.2624
100.8,83973.6803
101.0,83991.6934
101.2,84160.9767
101.4,84163.4723
101.6,84087.3425
101.8,84224.8843
102.0,84286.5397
102.2,84144.8379
102.4,84121.9888
102.6,84305.8096
102.8,84199.4297
103.0,84226.3442
103.2,84058.9479
103.4,84045.228
103.6,83913.5231
103.8,84212.9395
104.0,83479.6275
104.2,83935.4128
104.4,83853.8374
104.6,84083.7232
104.8,83976.3391
105.0,83912.3378
105.2,84069.2122
105.4,83662.4467
105.6,84138.4167
105.8,84072.8253
106.0,83896.2981
106.2,84239.331
106.4,83928.6458
106.6,84125.9468
106.8,84001.7421
107.0,84097.7317
107.2,83955.2412
107.4,83329.3508
107.6,83860.3526
107.8,83867.7887
108.0,84079.0459
108.2,83937.4492
108.4,83791.495
108.6,83658.4074
108.8,83577.0743
109.0,83926.2647
109.2,83681.2773
109.4,83970.8234
109.6,83866.5625
109.8,83881.6526
110.0,84219.227
110.2,84336.0428
110.4,84226.0401
110.6,83536.3294
110.8,83900.2539
111.0,83795.7714
111.2,84089.7376
111.4,84322.434
111.6,83938.8373
111.8,84307.9829
112.0,84153.9848
112.2,84102.9636
112.4,83488.3959
112.6,84240.6878
112.8,83874.2968
113.0,83445.1452
113.2,83621.4589
113.4,84104.4288
113.6,83767.8389
113.8,83588.2823
114.0,83715.158
114.2,83826.4723
114.4,83993.1529
114.6,84079.335
114.8,84012.1162
115.0,83931.7068
115.2,84000.9162
115.4,83866.5638
115.6,84372.42
115.8,83863.0265
116.0,83933.9091
116.2,83947.7398
116.4,84249.0539
116.6,84442.0987
116.8,84415.7878
117.0,84155.0927
117.2,84326.1033
117.4,84262.5865
117.6,84441.2631
117.8,84310.1617
118.0,84205.2169
118.2,84564.4049
118.4,83873.3908
118.6,83864.0652
118.8,83932.3821
119.0,83742.0724
119.2,84127.9518
119.4,83927.7798
119.6,84362.9984
119.8,83988.1413
120.0,83901.2005
120.2,83995.6523
120.4,83952.7788
120.6,84225.1678
120.8,84227.427
121.0,84282.1064
121.2,84071.0864
121.4,84255.6178
121.6,84097.2804
121.8,83839.3594
122.0,84153.7076
122.2,83751.5212
122.4,83659.9545
122.6,84077.074
122.8,83694.7769
123.0,83584.1628
123.2,83581.8303
123.4,83950.5698
123.6,84318.3834
123.8,84098.8366
124.0,83967.2995
124.2,83701.9029
124.4,84036.8091
124.6,84210.1949
124.8,83924.6185
125.0,83743.0222
125.2,83948.3525
125.4,83946.1728
125.6,83983.8344
125.8,83995.7
126.0,84468.2195
126.2,84593.964
126.4,84236.4171
126.6,84130.6769
126.8,83907.2059
127.0,84061.9572
127.2,84075.6835
127.4,83833.5147
127.6,84109.9023
127.8,84152.383
128.0,83732.3077
128.2,83418.8716
128.4,84000.0228
128.6,84310.707
128.8,84150.6561
129.0,83908.2022
129.2,84460.5266
129.4,84133.2704
129.6,84165.2136
129.8,84452.107
130.0,84523.8022
130.2,84331.4194
130.4,84034.1276
130.6,84014.5122
130.8,83935.4571
131.0,83748.6681
131.2,84172.2654
131.4,84123.5766
131.6,83759.8987
131.8,83875.5481
132.0,84024.1579
132.2,84060.6245
132.4,84175.09
132.6,84426.2245
132.8,83880.1664
133.0,84224.0273
133.2,84111.9303
133.4,83926.8382
133.6,84056.7161
133.8,84473.1185
134.0,83985.9233
134.2,84024.734
134.4,84321.8675
134.6,83989.5242
134.8,83942.4154
135.0,84282.2778
135.2,84347.2218
135.4,84168.5162
135.6,83822.3292
135.8,84118.1791
136.0,83680.7766
136.2,83923.2096
136.4,84113.5553
136.6,83863.426
136.8,83902.7316
137.0,83778.965
137.2,83885.4839
137.4,84056.1543
137.6,84339.1612
137.8,84343.3398
138.0,84071.7388
138.2,84140.5624
138.4,84397.2361
138.6,84279.7676
138.8,83969.9228
139.0,84769.35
139.2,84126.6313
139.4,84123.7888
139.6,83982.5395
139.8,84134.4307
140.0,84046.3899
140.2,84139.3209
140.4,84038.2929
140.6,83896.6509
140.8,84072.6154
141.0,83970.7758
141.2,84164.7648
141.4,84234.7881
141.6,83789.5849
141.8,83958.9012
142.0,83672.0242
142.2,83905.6304
142.4,83926.2661
142.6,83928.8345
142.8,83718.9618
143.0,83496.8835
143.2,83672.2195
143.4,83853.488
143.6,83759.1092
143.8,83801.2505
144.0,84180.2189
144.2,84112.9861
144.4,83625.2621
144.6,83719.3739
144.8,83749.8951
145.0,83954.4139
145.2,84037.7951
145.4,83949.5364
145.6,83697.5127
145.8,83708.4761
146.0,83687.8982
146.2,83899.6442
146.4,83750.8807
146.6,83877.3999
146.8,83936.468
147.0,83818.8361
147.2,84463.3106
147.4,84199.4436
147.6,83848.1125
147.8,83913.3116
148.0,83884.5509
148.2,84081.0543
148.4,83748.6356
148.6,84140.5528
148.8,83601.0633
149.0,84085.9944
149.2,84237.8401
149.4,83942.7539
149.6,83789.2833
149.8,84155.2025
150.0,83801.3263
150.2,83575.7018
150.4,83731.5605
150.6,84212.3982
150.8,84154.45
151.0,83887.6692
151.2,84033.1639
151.4,83852.7282
151.6,83966.3222
151.8,84009.4733
152.0,84015.3049
152.2,84656.4143
152.4,84061.5448
152.6,84257.425
152.8,84048.5915
153.0,84056.5137
153.2,83787.1199
153.4,83967.4294
153.6,84113.1914
153.8,83846.9975
154.0,83817.463
154.2,84240.6616
154.4,84018.6848
154.6,83966.8513
154.8,83665.7684
155.0,83572.065
155.2,83940.8512
155.4,83722.7952
155.6,83665.8143
155.8,84447.6812
156.0,84079.9142
156.2,84220.6985
156.4,84252.0703
156.6,84395.0556
156.8,84128.4753
157.0,84379.2018
157.2,84297.0593
157.4,83618.8671
157.6,84134.4274
157.8,83616.3402
158.0,83644.1804
158.2,83566.7915
158.4,83495.6709
158.6,83647.9139
158.8,83922.9901
159.0,83743.2318
159.2,84225.8614
159.4,83711.2311
159.6,83768.3875
159.8,83547.1913
160.0,84155.2454
160.2,83772.6407
160.4,83690.6141
160.6,83991.2711
160.8,83666.6055
161.0,83760.9938
161.2,83742.0296
161.4,83863.8529
161.6,84192.2465
161.8,84230.4118
162.0,84054.0839
162.2,84262.3746
162.4,83937.6282
162.6,84256.5617
162.8,84351.7039
163.0,83813.0571
163.2,84100.9474
163.4,83902.1534
163.6,83716.5352
163.8,83829.4871
164.0,83842.0526
164.2,84114.3107
164.4,84249.4423
164.6,83838.6572
164.8,83848.2427
165.0,84018.5967
165.2,83859.4727
165.4,83984.5405
165.6,83817.0858
165.8,83643.1665
166.0,84011.3725
166.2,84172.0311
166.4,84148.0089
166.6,84081.4752
166.8,84156.2323
167.0,83950.5944
167.2,83851.7805
167.4,83981.2409
167.6,84132.4527
167.8,84060.5829
168.0,84056.6138
168.2,84259.1684
168.4,83965.0545
168.6,84054.4854
168.8,84329.5394
169.0,84120.2206
169.2,84266.8566
169.4,83962.7491
169.6,83968.5116
169.8,83900.9672
170.0,83899.5514
170.2,84254.3253
170.4,84266.2358
170.6,84200.4009
170.8,84106.7801
171.0,83986.4343
171.2,84403.3664
171.4,83772.9822
171.6,84360.9285
171.8,83861.4196
172.0,83784.6867
172.2,83992.1655
172.4,84161.2547
172.6,83952.7671
172.8,83808.7257
173.0,83954.3439
173.2,83881.2796
173.4,84181.0701
173.6,83849.6229
173.8,83763.3128
174.0,83897.0238
174.2,84176.4795
174.4,83860.3268
174.6,83751.3772
174.8,83599.1365
175.0,83717.5782
175.2,83674.2517
175.4,83757.273
175.6,83729.309
175.8,84220.6033
176.0,84006.0477
176.2,83905.5901
176.4,83727.6748
176.6,83966.5528
176.8,83944.9899
177.0,84163.1194
177.2,84007.9368
177.4,83706.7877
177.6,84108.8227
177.8,83889.0976
178.0,83968.424
178.2,84016.6629
178.4,83732.5552
178.6,83509.0564
178.8,83872.3043
179.0,83738.5225
179.2,83683.7268
179.4,84018.2719
179.6,83971.5877
179.8,83728.2219
180.0,83904.9146
180.2,84275.1877
180.4,84220.0342
180.6,84128.4267
180.8,84081.7079
181.0,84172.5881
181.2,84646.8074
181.4,84004.584
181.6,84529.1475
181.8,84154.9823
182.0,84389.4551
182.2,83853.0173
182.4,84373.5886
182.6,83951.4247
182.8,83527.1278
183.0,83495.0595
183.2,83763.2494
183.4,83512.2782
183.6,83507.2535
183.8,83619.5107
184.0,83729.3496
184.2,83633.9832
184.4,84014.5805
184.6,83697.83
184.8,83643.7071
185.0,84049.3548
185.2,83857.6068
185.4,83260.3371
185.6,83556.1934
185.8,83986.7134
186.0,84289.6626
186.2,83768.4362
186.4,84092.883
186.6,83931.284
186.8,83859.0114
187.0,83647.4955
187.2,83570.3458
187.4,83265.4307
187.6,83508.7411
187.8,83667.6719
188.0,83792.3043
188.2,83511.9675
188.4,84136.2498
188.6,83774.0058
188.8,84063.7978
189.0,83815.0519
189.2,83873.5212
189.4,83905.9265
189.6,83462.9022
189.8,84001.0168
190.0,83882.6034
190.2,84143.065
190.4,83902.111
190.6,83881.4065
190.8,84107.0121
191.0,83904.9925
191.2,83901.8588
191.4,83858.8575
191.6,83780.7879
191.8,83498.3534
192.0,83580.0334
192.2,83747.2891
192.4,83725.6286
192.6,83656.0513
192.8,83885.054
193.0,83482.3279
193.2,83968.7079
193.4,83821.6308
193.6,83545.8675
193.8,83629.0724
194.0,83778.3113
194.2,83964.2555
194.4,84410.3352
194.6,84273.2567
194.8,84146.0776
195.0,84344.3643
195.2,84003.3384
195.4,83946.2608
195.6,83916.4332
195.8,83874.9377
196.0,83742.1659
196.2,84379.9078
196.4,83527.7901
196.6,84102.1782
196.8,83859.239
197.0,83535.5255
197.2,83920.2103
197.4,84084.1385
197.6,83739.0167
197.8,83835.4565
198.0,83740.3152
198.2,84049.4881
198.4,83470.6095
198.6,83918.3042
198.8,84078.3069
199.0,84249.7559
199.2,84348.3472
199.4,83972.1019
199.6,84271.9389
199.8,84073.9171
200.0,84065.7317
200.2,83822.1583
200.4,84036.4279
200.6,83706.6792
200.8,83689.4849
201.0,83802.0244
201.2,83646.7951
201.4,83860.588
201.6,83983.8131
201.8,84165.0514
202.0,83938.0092
202.2,83724.43
202.4,83618.4721
202.6,83837.9574
202.8,83846.3374
203.0,83716.7691
203.2,84134.4391
203.4,83822.0189
203.6,84413.1879
203.8,84045.0448
204.0,84326.3525
204.2,84122.2943
204.4,83928.3042
204.6,83905.9449
204.8,84175.1524
205.0,83903.2269
205.2,84366.0897
205.4,83775.6665
205.6,84090.0839
205.8,83629.5452
206.0,84077.6312
206.2,84004.4427
206.4,84039.8301
206.6,83714.3616
206.8,83744.2968
207.0,84332.3372
207.2,84342.9236
207.4,83967.495
207.6,83909.9793
207.8,83913.0535
208.0,84029.8481
208.2,83660.8502
208.4,84022.6136
208.6,84318.4644
208.8,84254.4228
209.0,84140.2194
209.2,84056.6023
209.4,83976.2059
209.6,83880.5693
209.8,84039.5046
210.0,84147.8966
210.2,84189.505
210.4,84101.4319
210.6,83836.1408
210.8,83824.3006
