Time (ps),ETOT
10022.0,-918335.2969
10024.0,-917731.5247
10026.0,-918306.8677
10028.0,-917978.8687
10030.0,-917777.9642
10032.0,-918635.2387
10034.0,-918333.3885
10036.0,-918816.401
10038.0,-918567.4637
10040.0,-918170.6154
10042.0,-918113.1983
10044.0,-918457.5546
10046.0,-919005.5741
10048.0,-918177.0573
10050.0,-918616.6738
10052.0,-918595.9128
10054.0,-918359.1237
10056.0,-918534.0272
10058.0,-917628.9944
10060.0,-918104.5183
10062.0,-918526.6747
10064.0,-918936.6637
10066.0,-918087.5177
10068.0,-919670.3706
10070.0,-918796.4395
10072.0,-918479.4737
10074.0,-918950.9439
10076.0,-918590.2475
10078.0,-918289.0648
10080.0,-918148.5337
10082.0,-918189.1592
10084.0,-918728.3161
10086.0,-918403.9311
10088.0,-918269.4913
10090.0,-918465.5022
10092.0,-917732.2314
10094.0,-918884.9488
10096.0,-918178.9548
10098.0,-918415.8419
10100.0,-918179.337
10102.0,-918499.2936
10104.0,-918210.3972
10106.0,-918322.3274
10108.0,-918510.8674
10110.0,-918206.1957
10112.0,-918526.6399
10114.0,-918594.3277
10116.0,-918923.39
10118.0,-917946.3195
10120.0,-918677.8092
10122.0,-917994.9947
10124.0,-917855.4052
10126.0,-918322.0847
10128.0,-917842.5749
10130.0,-918920.628
10132.0,-918507.5197
10134.0,-918356.09
10136.0,-918778.3428
10138.0,-918862.4678
10140.0,-918467.847
10142.0,-919014.538
10144.0,-918467.1519
10146.0,-918649.0702
10148.0,-918953.8766
10150.0,-917806.8489
10152.0,-918596.0772
10154.0,-918514.9889
10156.0,-918412.6373
10158.0,-918608.4325
10160.0,-918294.5517
10162.0,-917775.4606
10164.0,-918955.7182
10166.0,-918163.3301
10168.0,-918630.6819
10170.0,-918179.4877
10172.0,-918810.8287
10174.0,-918318.7283
10176.0,-918558.5859
10178.0,-918574.9707
10180.0,-919170.2682
10182.0,-918275.4478
10184.0,-918805.2524
10186.0,-918391.5642
10188.0,-917849.0757
10190.0,-918316.8856
10192.0,-918749.4019
10194.0,-918425.3493
10196.0,-917787.6506
10198.0,-918704.4161
10200.0,-918241.2533
10202.0,-918542.9051
10204.0,-918425.4995
10206.0,-918937.0919
10208.0,-918464.1369
10210.0,-917932.081
10212.0,-917659.6425
10214.0,-918602.3034
10216.0,-918634.3781
10218.0,-918242.4144
10220.0,-918024.3917
10222.0,-918618.6671
10224.0,-918070.2913
10226.0,-919380.9188
10228.0,-918271.3093
10230.0,-918537.7489
10232.0,-918376.668
10234.0,-918140.8066
10236.0,-918514.5518
10238.0,-918127.6967
10240.0,-918972.4053
10242.0,-918320.1621
10244.0,-918436.7404
10246.0,-918255.3111
10248.0,-917632.6482
10250.0,-917802.4002
10252.0,-918442.5723
10254.0,-918842.6815
10256.0,-918228.0471
10258.0,-918749.5275
10260.0,-918616.0069
10262.0,-919002.3737
10264.0,-918490.7292
10266.0,-918166.4086
10268.0,-917894.9185
10270.0,-918180.1713
10272.0,-918077.7422
10274.0,-918026.013
10276.0,-919140.0484
10278.0,-918432.6744
10280.0,-918048.7695
10282.0,-918464.3247
10284.0,-917728.8588
10286.0,-918631.8445
10288.0,-918360.1927
10290.0,-918917.3192
10292.0,-918998.1917
10294.0,-918704.273
10296.0,-918110.7966
10298.0,-919310.2646
10300.0,-918056.7737
10302.0,-918552.4762
10304.0,-918264.7504
10306.0,-918203.2899
10308.0,-917919.826
10310.0,-918068.5727
10312.0,-918579.7272
10314.0,-918239.0917
10316.0,-918556.5486
10318.0,-918526.6393
10320.0,-918143.9211
10322.0,-918068.3542
10324.0,-918852.989
10326.0,-918223.9483
10328.0,-918689.0988
10330.0,-918380.8682
10332.0,-918691.4772
10334.0,-918195.8292
10336.0,-919435.6571
10338.0,-918154.165
10340.0,-918490.5724
10342.0,-918622.6992
10344.0,-918588.9477
10346.0,-918307.9386
10348.0,-918724.0335
10350.0,-917772.6319
10352.0,-918249.6972
10354.0,-918551.5432
10356.0,-918311.9035
10358.0,-918499.0036
10360.0,-918519.1767
10362.0,-918595.7475
10364.0,-917808.0327
10366.0,-918934.8037
10368.0,-918516.2934
10370.0,-917669.9307
10372.0,-918830.8532
10374.0,-918159.7148
10376.0,-918296.5524
10378.0,-917690.6992
10380.0,-917930.2049
10382.0,-918450.4283
10384.0,-918486.7499
