Time (ps),EPTOT
22.0,-625748.3634
24.0,-627544.0972
26.0,-628341.6763
28.0,-629151.3794
30.0,-629931.8417
32.0,-630601.1019
34.0,-630921.2362
36.0,-631418.8055
38.0,-632048.5178
40.0,-632679.0776
42.0,-632874.8113
44.0,-633420.4154
46.0,-633613.9827
48.0,-634072.3552
50.0,-634544.4218
52.0,-634634.8683
54.0,-635001.3413
56.0,-635215.7879
58.0,-635848.4156
60.0,-635390.2073
62.0,-636001.5088
64.0,-635888.5798
66.0,-636727.1359
68.0,-636478.045
70.0,-636836.9592
72.0,-636870.8419
74.0,-637029.8336
76.0,-637104.796
78.0,-637245.7186
80.0,-637722.4171
82.0,-637756.721
84.0,-637901.0067
86.0,-638115.4077
88.0,-638277.5902
90.0,-637974.4556
92.0,-638573.0108
94.0,-638447.329
96.0,-638881.9714
98.0,-638464.596
100.0,-638767.8837
102.0,-638850.0208
104.0,-638892.1326
106.0,-639076.1707
108.0,-639306.4783
110.0,-639531.914
112.0,-639088.9133
114.0,-639523.6407
116.0,-640099.2672
118.0,-639978.3095
120.0,-640040.8858
122.0,-640143.0686
124.0,-640462.122
126.0,-640128.1888
128.0,-640200.4252
130.0,-640538.0293
132.0,-640281.9236
134.0,-640329.5118
136.0,-640215.0272
138.0,-640588.3399
140.0,-640276.736
142.0,-640666.6175
144.0,-640536.4492
146.0,-640889.3072
148.0,-641060.2837
150.0,-640810.9103
152.0,-640743.6083
154.0,-641184.2106
156.0,-641402.0276
158.0,-640892.8877
160.0,-641070.5867
162.0,-641367.4384
164.0,-641184.1106
166.0,-641333.0928
168.0,-641252.4312
170.0,-641128.4876
172.0,-641503.9806
174.0,-641472.9482
176.0,-641665.0239
178.0,-641553.9582
180.0,-641975.4661
182.0,-641768.844
184.0,-641655.6036
186.0,-641987.9238
188.0,-641707.4859
190.0,-641906.44
192.0,-642220.4166
194.0,-642061.1477
196.0,-642276.4711
198.0,-642017.6612
200.0,-642317.4433
202.0,-642742.6397
204.0,-642754.2715
206.0,-642556.2732
208.0,-642338.3866
210.0,-642184.1999
212.0,-642238.9016
214.0,-642139.0992
216.0,-642331.5282
218.0,-642433.2162
220.0,-642566.345
222.0,-642807.7435
224.0,-642547.0618
226.0,-642420.5502
228.0,-642461.8848
230.0,-642734.9011
232.0,-642572.7122
234.0,-642165.8159
236.0,-642959.6417
238.0,-642851.0584
240.0,-642905.502
242.0,-642763.391
244.0,-642703.5636
246.0,-643161.5403
248.0,-643044.7
250.0,-643069.1911
252.0,-643405.4569
254.0,-643412.0466
256.0,-642990.5347
258.0,-643096.7322
260.0,-643075.2157
262.0,-642714.1007
264.0,-643272.9802
266.0,-643077.3499
268.0,-643329.4571
270.0,-643147.7082
272.0,-643219.8595
274.0,-643280.1132
276.0,-642980.561
278.0,-643610.4096
280.0,-642944.6339
282.0,-643231.699
284.0,-643369.5531
286.0,-644117.5554
288.0,-643745.7837
290.0,-643503.9892
292.0,-644140.2514
294.0,-643699.4301
296.0,-643677.0273
298.0,-643931.4614
300.0,-643360.1087
302.0,-643426.0126
304.0,-643481.96
306.0,-643805.1157
308.0,-643804.8995
310.0,-643962.2404
312.0,-643908.4244
314.0,-643427.3354
316.0,-644255.5984
318.0,-643842.5996
320.0,-643887.7015
322.0,-644401.4103
324.0,-644059.853
326.0,-644387.9384
328.0,-643938.6103
330.0,-644225.8654
332.0,-644286.2134
334.0,-644618.6401
336.0,-644273.3157
338.0,-644187.9965
340.0,-643979.0572
342.0,-644149.8394
344.0,-644202.6307
346.0,-644182.6421
348.0,-644585.8646
350.0,-644503.6711
352.0,-644298.8895
354.0,-644561.9867
356.0,-644396.4854
358.0,-644276.2318
360.0,-644381.5111
362.0,-644894.6187
364.0,-644190.4328
